[2024-06-17T17:54:11.706632+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T17:55:11.158634+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T17:55:18.155615+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T18:04:26.309174+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T18:04:35.279556+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T18:11:37.191349+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:delete, Params:3 [] []
[2024-06-17T18:12:38.089435+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:delete, Params:4 [] []
[2024-06-17T18:34:22.985160+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T18:34:54.064307+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T18:35:04.603921+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T19:03:47.007959+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T19:03:55.231358+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T19:05:14.490929+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T19:52:04.412923+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T19:54:12.979391+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T19:54:35.479992+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T19:59:10.524716+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T20:01:20.369522+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T20:02:34.894413+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T20:04:29.969383+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T20:16:11.176988+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T20:20:39.249571+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:22:03.906297+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:27:52.766192+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:28:01.191044+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:28:08.281580+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:30:55.673213+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:31:12.851474+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:1 [] []
[2024-06-17T20:39:58.530391+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:store, Params: [] []
[2024-06-17T20:44:05.454083+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:store, Params: [] []
[2024-06-17T20:46:41.022848+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:store, Params: [] []
[2024-06-17T20:52:18.693440+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T20:53:39.575266+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:update, Params:5 [] []
[2024-06-17T20:59:43.751023+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T21:00:25.859760+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:delete, Params:5 [] []
